number               full_name            id                   items_pursed         enterDate            
1                    yarin_avraham        209161066            2                    25/04/2024
0                    yyyyy                202020               0                    27/04/2024
0                    0                    0                    3                    27/04/2024
0                    vladi                2222                 0                    27/04/2024
0                    chen                 333333333            1                    25/04/2024
0                    yarin_hadar          000000000            2                    25/04/2024
0                    haim                 222222222            0                    25/04/2024
0                    yarin_avraham        209161066            2                    25/04/2024
2                    haim                 222222222            0                    25/04/2024
3                    yarin_hadar          000000000            2                    25/04/2024
4                    chen                 333333333            1                    25/04/2024
5                    vladi                2222                 3                    27/04/2024
6                    0                    0                    3                    27/04/2024
